Gene,log2FC,p-value,adj_p-value
UST,-2.2799290734659845,0.0003303511234512727,0.004547819442662306
VPREB3,-1.562329643943639,0.0007193860005231404,0.007922316363334642
TMEM47,-2.322245431532007,0.00017259459707883517,0.0029489099523550494
ITPKB,-2.0080740142212523,0.0003728605447464323,0.004921293114971973
FBLN1.2,-2.477139001920954,0.0005394581448822263,0.006429050284211543
ABCA6,-1.790982732224051,1.8458260732947893e-06,0.0002593093433083236
RARRES3,-1.8238505740006363,0.004523060376335186,0.03013823601000307
DCN.1,-1.3417866923373118,0.0008215029032500587,0.008691632420257887
AXL,-2.1888639175180984,0.00021952594029430632,0.0034442413128790202
SNCA,-1.908212504851114,0.00016513105803138973,0.0028651234840537114
EFS,-1.3568948677532615,6.031424616172638e-05,0.0015091424768285992
TUBB6,-1.099791374253362,0.0016804256675482306,0.014402875103888674
BEX1,-1.128600166925964,0.001820825556374109,0.015270926965650689
SH3BGRL,-1.4677455730166746,0.000599727133612568,0.006957179361739598
KLF6.1,-1.287434157308408,0.00539586783575169,0.03426035386512453
AKAP7.1,-1.1612900945982496,0.005760424982533471,0.035863400584063045
PYY,-2.4464503893031777,1.9183665332703583e-05,0.0008128462851385069
SCG2,-2.622255469254882,0.0010021533969311067,0.00992658322532416
EDN3,-2.085201449666883,1.4994719926139136e-06,0.00023196211565586916
FHL3,-1.1594439319206251,0.004774117539309534,0.03148651286543996
TBC1D9,-1.198598200628925,9.802375497567561e-05,0.0020427235530290563
GPM6B.1,-2.3643669184702696,0.0002028671646658455,0.00328035894595201
FBXL7,-1.1787178444030975,4.393816518146976e-05,0.0012176983888481344
NEFH,-1.5112863733601765,0.00024533089309402705,0.0037336267457256742
SLCO2A1,-2.0806572761488518,0.00014585558199574757,0.0026597256774858143
NBEA,-2.991225734014617,6.597482361003262e-05,0.001594114788325708
PTGDR,-1.5851441634440626,5.7785803957622e-05,0.0014660270913324977
TEF,-1.6626998420107544,0.000110429557798177,0.002229494647783845
NFATC1,-1.4718476650517558,0.004796175907289956,0.03153351270552593
PTBP2,-1.271290975041947,0.005585235924607464,0.03520866037488372
MPDZ,-2.2113128106646776,0.00013484943724715898,0.0025156805793158155
VIPR1,-1.3430889367288876,0.0060358478112355705,0.037248694937952305
RBPMS.1,-2.291704234444375,0.00014330272623777447,0.0026407216166573484
DPT,-4.530232245672439,4.134791712593832e-06,0.00036999377706168024
PTGS1.1,-3.9546638569417585,8.655842357607894e-05,0.0018883685837599534
DAPK1,-1.261747876586361,0.00045901590340168317,0.005735797543217009
FYCO1,-1.934583888779696,0.0006081374159699266,0.007017839317187382
LIFR,-2.971019017985328,4.152576753730609e-09,1.3285246078253122e-05
ALDH1A1,-1.6832529408753214,0.0009724023936062335,0.009713904327424994
SRPX,-3.3609640281701543,2.9623001628405497e-06,0.0003208459625466572
IGF1,-1.141330122449247,0.000830150956302076,0.008764478583860948
PCDH7.1,-1.0268697083177947,0.0023898816844267244,0.01874796486319598
MPZ,-1.4048603393329244,0.00038508741255643167,0.005013733648808092
SLAMF7,-1.1989416674919298,0.005941693205977996,0.03681827380394463
RGS2,-2.098351402924713,9.354028237691801e-06,0.000563321016420877
YPEL5,-1.090494713307253,0.0036867352783334886,0.0257404608983351
KCNB1,-2.399383629402121,2.9706427179747538e-05,0.000992627103135931
ZNF331,-1.3464608783166623,0.003369735039189288,0.024090069247663975
GPM6A,-1.451718984070876,0.00011656611558389065,0.002274460361572247
EMILIN1,-1.887187123363688,0.00019242092587872992,0.003169691975590498
NRXN1.1,-1.1335620133148558,2.997538422624788e-05,0.0009953147234117968
CD96,-1.0362634547151754,0.0035944971353596934,0.025286006164065955
SSBP2,-1.7214072254141564,0.0001596611790180549,0.0027955484893071123
GCNT3,-1.3286345034433191,0.007478519678914237,0.043649369920634784
CYBRD1,-2.281340158406043,1.7675971360689528e-05,0.0007842041243593308
XDH,-1.4997064312313186,0.0017780982027160305,0.014995957605813551
ABHD8,-1.3723168006657445,0.0010576237300479682,0.010374766595828713
GSTM2,-1.7575762438814377,1.2390825068107505e-05,0.0006584637820438771
FAM46C,-1.99873383469474,0.0004604454414986086,0.005746859830713721
CHL1,-1.6348609712745552,1.0110649117914464e-06,0.00020143083780388456
ZNF671,-1.5871368502198426,0.00017952157352780788,0.003037769703333531
AQP8,-5.5123302033801265,9.045071245628737e-05,0.001934007129220401
LDB3,-2.8341112994042477,1.7496412584266295e-05,0.0007842041243593308
MAN1C1,-1.3561417572638839,0.001057111503685356,0.010374766595828713
NXPH3,-1.0996701985036053,0.0009133313879833124,0.009326756407848932
NTRK2.1,-1.2254254060691383,0.00041084484765391716,0.005258316056215408
VGLL3,-1.9865278035107052,4.341324172118512e-05,0.001206316892984194
OLFM1,-1.9228691073837514,3.66170448657814e-05,0.0011174548460629646
MT1G,-2.1715358685137898,3.463107246052141e-05,0.0010760238707152648
FLNC,-3.940454301047964,1.2257145587472868e-05,0.0006584637820438771
SDPR,-3.713273737143733,8.02762995748656e-06,0.0005264828864664633
FRZB,-1.4969318290880846,0.0006408322462902512,0.007307286920711407
ENAH,-1.2670915493999422,0.004115061401759559,0.02800136452167074
TPM1.1,-2.243325239113239,0.0002571091828257475,0.003834485680024107
GPM6A.1,-3.4928679580867046,9.295219952565222e-06,0.000563321016420877
ADAMDEC1,-2.3973962235400097,1.1406115962815695e-06,0.0002150663900917338
F13A1,-1.8204384299481478,0.0029656301454634507,0.02198558495122182
HOXD1,-1.2506058859848042,0.000533784316234675,0.006390281853879743
OPTN,-1.0579499262759253,0.0029626019857255637,0.02198321459401
NUDT11,-1.0814080112990636,0.0006466267385267691,0.0073649517857638245
CALD1,-4.014809218392787,1.4104259876891102e-05,0.0007111039321795278
ARNT2,-1.0404913949733732,0.007468269175730823,0.04361584857662707
CXCL13,-1.6945539615021519,9.28361607116362e-05,0.001972348130692488
TSPAN4.1,-1.5409688180868661,0.001514039386446392,0.013355674086455684
