Gene,log2FC,p-value,adj_p-value
NKRF,1.3924964837118887,0.00015738584549871885,0.002769728571034954
SLC1A5,1.5171150470564798,0.00020196169939587247,0.0032766164595206043
LMNB2,2.17967653935824,0.00011077109648957027,0.002232122152353764
PAK6,1.2167390236924311,5.3499079668751804e-05,0.0013777970298106106
PDZK1IP1,1.3314633866792518,0.0004166714648012388,0.005313567629029324
NT5DC2,1.2437155680246474,0.007634581045868916,0.04432401579317197
RUVBL2,1.1360353172643505,0.0015911817734714764,0.013908351279871953
TGIF2,1.5665855702907272,0.001219076708761956,0.011452044656929736
CDCA8,1.7839876299463264,1.914347697772618e-06,0.0002598946984147902
CXCL3,1.5369190378660955,0.0007501072281101781,0.008170652348130669
MRE11A.1,1.0218744366906687,0.00036226074980521135,0.004818237419086171
BLM,1.4063813427809748,4.5768074197954045e-06,0.00039289845159040383
FBXO5,1.2547546697962502,0.00017946846325023213,0.003037769703333531
C2,1.2267046699302873,0.0036201366983919896,0.025381821645631488
TMEM97,2.5745194370042235,9.971817959891965e-05,0.0020645573693823384
CDC25A,2.2899378622744484,3.288400507958048e-05,0.0010415535832739705
GMDS,1.4711946322701486,0.0007423908655510733,0.008116592320080678
WDR3,1.1769979716318495,0.0029588889881618455,0.02197110325316521
RFC3.1,1.2430172938627921,0.008397784502797977,0.047647612340163265
MYB,1.5464497874317196,0.0005640643497957417,0.006639861170003608
ZNF696,1.0262914027238363,0.008157404517572376,0.04670429999334806
CEACAM6,1.1660713001168521,0.00867916642414815,0.04885038287450976
MAP7,1.7354139750065443,0.0007498771284300265,0.008170652348130669
DKK4,1.5378009611086891,7.536558612441904e-05,0.0017299678780168277
CCNB1,1.5469516244682253,6.947015673478743e-06,0.0005014939558402619
AP1S1.1,1.442054904247423,0.0006132512716363392,0.007069126831013215
HSPH1,1.6288031798185505,0.00029255252436057266,0.004185721009110145
PSTPIP2,1.3181096390267546,0.0018721634167173258,0.015594713516484138
MRPL3,1.2250728059724794,0.0001722296790744268,0.0029489099523550494
PMFBP1,1.1345800378479136,0.00014779281792713135,0.002676748481119348
GLCE,1.183494039039042,0.004376200036257432,0.029338600751010937
PLOD3,1.0153119758674891,0.002938005818378249,0.021862158869806858
MARCKSL1,1.860798845531325,2.725469649322175e-05,0.0009430909516877728
MRPS12,1.339866380986665,0.0023267489604331198,0.018389328048812357
RPIA,1.2897632605122928,0.00035014866050647145,0.004721864248132608
MET,1.8128893481395119,4.162316647529862e-05,0.0011706446619321371
IL23A,1.3055743388627883,9.389572771102789e-06,0.000563321016420877
MIF,1.12858202160755,0.0003596183632137358,0.004794457445926561
CENPE,1.6941991578032103,6.6093984242350135e-06,0.0004984902711535537
EGFL6,1.2286685089937623,0.006632024264190596,0.03999288646806882
FOXM1,1.3622166679967591,2.847739840840589e-05,0.0009545804755376439
KIF23,1.0143682132906142,0.003847817968276409,0.026607144680439163
RPA3,1.158541276142123,0.0027511616445125148,0.020913978260912628
PROCR,1.030337475520405,0.0028390330748355556,0.02141239302656331
TNNT1,2.435123240846172,0.004250842793406148,0.02869862471584113
CDKN2A,1.5896161534186444,6.575675949697211e-05,0.001594114788325708
LRP5L,1.15652961404628,0.00476553043377221,0.031449522406375476
FBL,1.2808981327642088,0.00022080003767007867,0.0034590913913328794
CKS1B,1.505563079603443,0.00015577850101669243,0.002755218077445989
CCT6A,1.2369453398416579,5.9512226837324954e-05,0.0014926118840268747
DNASE1,1.206297003283375,0.007141597893799541,0.042127448134429805
TMEM63A,2.0770825766346124,8.643545711389801e-05,0.0018883685837599534
