Gene,p_value,Log2FC,adjusted_p_value
BTK,0.0013319586837864698,-1.8723805692263937,0.004200438904711243
LARGE,3.683210472041935e-11,-1.8665579923350677,2.6021764685279705e-09
HTR3A,0.000129106962024129,-1.037091593564854,0.0005454406485513766
SLC25A43,1.798384321078918e-08,1.6727139498707393,3.429796833187345e-07
MANEAL,3.3993031269344657e-06,2.0447340932346227,2.408500177831817e-05
PTK7,0.0003862521717163158,2.184140559214084,0.001415113328369634
RPL36,1.2011265855469402e-07,1.8163597226432948,1.5781642333414662e-06
FGFR1OP,6.227022258764863e-07,1.6630314006835736,5.94663201844338e-06
C5orf34,2.677117505176836e-10,2.2482578754116807,1.221999480140801e-08
RANGAP1,1.090524690296877e-09,1.3809522682838402,3.721876881468603e-08
DNAJA3,1.3833396743050115e-09,1.0135114810228494,4.526254769141943e-08
ASPHD1,0.00031346201726196153,1.9297307805715898,0.0011808187113159032
COX7A1,3.582496296288008e-07,-3.30599736657447,3.8062307393128913e-06
FCER2,0.003323917456333464,-1.2057748829841657,0.009411331825309708
NDUFA6,8.375962412402365e-11,-1.177824011809541,4.889798688335107e-09
C10orf35,4.7269593136502015e-05,1.1163589245745875,0.0002271573461438988
LPPR4,0.008912175478963178,-1.2664213841490128,0.022431098346416968
C1GALT1,1.3425872727589282e-06,1.1909026666165898,1.13332223139185e-05
PNPLA7,1.9089291795648076e-06,-1.7302463574841909,1.5091833542218707e-05
ITGB7,0.015527871567563654,-1.3966877942039426,0.03640950246853738
PUS1,3.877043541308223e-12,1.9212101557171657,4.796366105658277e-10
COL4A3,0.022171754069784052,-1.6513359168040052,0.04954751609590907
ACSM3,0.0005068324053159011,2.0653674132246262,0.0017932328675483173
GPX2,1.7121082024658753e-10,1.598633647900174,8.832885665930924e-09
CA2,8.844465088601314e-06,-2.956306266005905,5.4110759383764904e-05
MADCAM1,0.00011828964758226626,-3.289490207139128,0.0005046418349932682
GPR160,0.0003578196774088289,1.1775068731576273,0.0013243029235297731
PACAP,0.0035614937296941877,-2.087260479988794,0.010004834354759512
PDLIM4,2.5688081577148434e-06,-2.485502108287802,1.9232683149087438e-05
C14orf153,7.213533986411906e-08,-1.1354973223894387,1.0485549710997219e-06
NME2,8.69989100221849e-18,1.3032045091128222,3.8599676398643e-14
AP1S1,6.196854077557688e-08,1.8225712456753858,9.239710640355882e-07
C1QTNF7,3.30145395572046e-05,-4.144479995997278,0.00016732208542188465
CCT7,1.4645498428093758e-07,1.0871728543530885,1.8502035144010929e-06
HIF3A,0.0005553406676111482,-1.9445813802446859,0.001940412249218099
FNDC4,0.002217107679749142,-1.5324009614681957,0.006559658144512531
LRRC4C,2.0869223665385672e-07,-2.423491203935233,2.4665043036383364e-06
MGC33556,0.0002602457284413349,-1.381769334533336,0.0010037662237148545
LFNG,1.4888314893472409e-08,1.5274457247670057,2.9516544255250053e-07
CITED2,2.5908126248265855e-11,-2.05512511522757,2.071406480547383e-09
ADAMTS8,4.6901746750191194e-07,-4.146107704537729,4.770602246245949e-06
CLEC12A,0.005843155252117003,-2.1101370861952695,0.015405818411333918
NOMO3,8.109932108625844e-06,3.0043632050283122,5.038809724107705e-05
ZNF238,0.0008180163557070738,1.8953201167568543,0.0027370851938168512
MCM7,3.79089509523361e-11,1.8890288136231188,2.6280380247707e-09
KATNAL1,0.0002074331746533415,-1.5814922560484783,0.0008232017077834933
KIAA0101,3.893853766972785e-08,3.2023877568059707,6.346895809443371e-07
CDC20,3.6471533628279216e-12,2.643902879517727,4.597071034146285e-10
