Gene,p_value
ZFHX4,1.7027822492339036e-06
NSFL1C,9.987201161647029e-05
FANCD2,5.475106206290502e-07
EXOD1,0.0068487810296005685
VAV3,0.014580489075476204
CCDC69,8.113420387511926e-07
GFM1,0.00017407611728930845
C17orf71,0.0003926498251053523
SAR1A,0.00010038579811620731
TMEM137,1.928731384182295e-05
MGLL,2.9531499372508315e-07
LDHD,8.645371784397629e-05
ZNF254,0.0004496732772752659
C15orf17,2.605316652105608e-07
BPHL,0.04283399682286903
FLJ16008,0.012573395371848988
CNNM1,0.04172023734473928
TRIM29,2.650507941690957e-05
STMN1.1,2.1110117075444528e-11
CFH,1.9901716267181203e-06
PPM1M,6.715195800879495e-08
IQCB1,5.7618976883289e-06
ACTL6B,0.012415181441554901
C1orf151,0.00037327658560229395
AHCY,6.2402810436789895e-09
TMUB2,0.005076715107081974
SIRT4,0.00011131921465510112
XPO4,5.2540697862576544e-08
TNKS,0.00046664765949229616
MTP18,2.0559539747885725e-08
RIPK1,6.564973925941386e-07
RHEB,7.42426861572732e-05
FMNL3,0.000247064669750378
TERF2IP,5.8535289198007955e-06
ADNP,2.0405098255301131e-07
YIF1B,1.333558209237884e-06
CENPI,1.1793886116301723e-08
MBNL2,0.0007220562948206569
SPN,0.023362047664455307
RAD54L,1.2585653664207122e-12
CRABP1,0.0007364591933577216
DYNLRB1,0.015870827702486642
EBP,2.874663082008128e-08
ATP1B1,0.0027520076920197235
ZNF573,0.03326447704177438
CYR61,0.0011697600020674913
KBTBD6,0.008792013266152024
CFP,0.017287727563326243
RFC3,2.5829950670993866e-08
TRIP11,0.00305282345859699
ZMYND11,8.111066320225664e-06
ZNF501,0.00117784673272378
TMEM29,3.2993333109873446e-06
ZNF418,1.216805899608588e-06
RKHD2,0.014369315046265662
ZXDB,3.870547314326239e-06
C1orf102,0.033420582096248076
BTBD14B,0.00041589706778289803
DRG1,6.54202045719688e-05
MAPKBP1,0.00040722146023015914
NUP93,5.316457023692673e-12
L3MBTL,7.784753716088805e-05
ASF1A,0.049927332347601244
WDR54,0.0257422414240321
C16orf68,0.003580146479157459
CD37,3.2877876180271366e-05
BAZ1A,0.009600143546064952
FIS1,0.04372473785848607
DKFZP586H2123,3.741387899756303e-05
USP52,4.10603517594295e-07
CCDC114,0.03170406132378755
CRTAC1,1.6988176035507094e-06
KLRC3,0.002438606683039987
KLRG1,1.66471539887449e-10
MRPS18C,0.0001828046597434364
SFXN4,0.00030261417919527454
FAM53A,0.00014402533567647177
SNX19,1.605396371150681e-05
RPL12,1.247704756208661e-10
FUSIP1,9.406303692596264e-06
TP53AP1,0.01426760201660496
SYT13,0.00010952487575755474
MYADM,1.152229068960931e-06
GALNT5,4.506068969782764e-08
PTPRN,0.00018221593771276147
C8orf30A,0.0002013144340004956
CDK5RAP3,0.028858318068257414
GPR161,0.0018758687311665645
LOC653365,0.006343906386514024
WWC1,2.9042987912562205e-10
UBXD1,8.380515482955784e-06
LOC283537,2.789779153315984e-05
ACTC1,0.004027612398457003
DTX3,4.76146402856738e-07
SAAL1,1.5102376650229497e-08
FLJ44968,0.0004457474112353661
NUF2,4.614515322184062e-11
HIST1H2BJ,0.00025080742796793537
ST6GALNAC2,8.38785575436405e-05
FAM19A4,0.0004048533178770436
NRXN3,0.00672800844057425
ZBTB25,0.01024060771752113
SPAG1.1,0.044921580444735695
CCNDBP1,0.018018224226541386
LOC732402,3.0042962817520414e-08
PEX19,1.1690650562673268e-06
PIGF,0.00010830706304884137
BRE,0.03868789957591291
HMOX2,0.0011991194485967461
SEZ6,3.1443391307330834e-05
CAMK2D,0.0003026445988015498
SAMD1,8.495999377363714e-06
C10orf26,2.3607690194824807e-08
NHN1,0.0027804567607692433
CAV2,2.14681441842322e-06
LOC93349,0.03540726613773487
DNCL2A,0.00031313492079153884
OSGEPL1,0.00548980776548658
SLC1A1,0.0002742832657152223
ACOX1,0.012049661102084908
DPM1,2.14349804560002e-06
ACOT9,0.048161390415577945
XPNPEP3,0.008447889045788609
C11orf74,0.014509042021096579
TMCC2,6.464371527734193e-07
FAM116B,0.000528827301493972
CHKB,0.011085391287264672
HLA-DOA,2.58689699419438e-05
NEFL,5.378764132675724e-05
ROCK2,0.0022055410198013573
PHLDA3,0.0003434407032890963
KLF10,2.2851145570457024e-05
CACNA1F,0.031757145381608815
ANKRD16,5.989444595881851e-08
PDE8B,4.706980787686373e-06
RARA,1.439536334246049e-06
CYP4B1,0.01671810068637619
CD79A,0.00025212229253450565
DSCR2,8.896882761643698e-11
FZD6,5.4028551074864725e-06
SVIL,0.0007202141270398987
PMP22,2.4216207791177264e-07
HEPN1,0.00011202150538684635
TGIF1.1,0.009402679843567
ELP4,0.0009930349384422207
BOLA2B,1.676002010207094e-06
RFC5,2.8078667497592763e-09
ADRA2A,0.0003689966504836692
TXNL5,0.00024078943783629333
KIF1B,4.4505748598143025e-06
DUSP23,1.3675649959672528e-05
PB1,1.6490243317584688e-05
HBS1L,0.0010427272347237032
WDR89,0.0005036518444700389
USP39,3.6885062418901265e-10
C6orf66,9.261163594078002e-09
SLC15A3,1.8015679558207893e-06
FAM24B,1.3490868424730584e-06
FPGS,0.0483866905581809
MYCBP,0.0018614006077842596
SGCG,4.732678682440674e-05
TOP1MT,4.629428471839212e-08
MAGEH1,2.290425856347746e-06
ACVRL1,0.0005361918274309598
GALK2,1.3712134718598307e-06
WWP2,0.0014783011968334471
EXOSC5,2.0053329306071765e-11
CDAN1,0.0004991008595113943
BAG3,9.78806372861836e-06
STK19,8.870008975581415e-05
CCDC76,3.1296469907085906e-05
BCL11A,0.02973129238204111
LOC84661,1.0080573563491105e-10
GTPBP9,0.001161873893141789
DNAJC3,9.372687642701658e-08
SNAP29,1.7968033383305212e-08
RAD51,9.021512082862765e-09
SFRS15,4.8496348809728556e-05
SLC25A26,0.009280702196567178
MSN,4.276062623925435e-07
ST7L,2.4134355786405572e-05
ZBTB24,7.81557656203817e-05
PPFIA1,0.03864341606126542
MTMR2,0.0026316844983772254
IL4I1,0.026387984315069855
FLJ38984,3.192188307683915e-05
CLP1,4.196594622708464e-06
MEP1A,0.000498229294575414
C6orf206,0.00010029741007925031
HIG2,1.3471663511379505e-06
SNRPN.1,3.7332056598853857e-06
PRR5,3.4152748673897306e-05
FCGR2B,0.02279341483918847
CEACAM7,9.076931090618349e-05
RNF44,4.842100449998329e-09
MYH11,2.5441276538937e-09
UCHL3,2.0718063240173404e-08
MMRN1,1.055975667062394e-06
SFMBT2,0.011743617329425892
ARR3,0.012055811210206555
TCF20,0.01215818116464892
ZNF582,0.0013297889094933423
SYF2,4.720865592966794e-05
ACAA2,0.00014792606573244566
ABCA7,0.0007468908754815418
MTBP,5.034684647816346e-10
CREBL2,0.0007180825516574568
PEX5,1.9081259710445274e-05
PKD2,3.422259283975323e-05
C7orf28B,0.0006178271986378156
C2orf43,1.0342984732590403e-06
POPDC2,7.681429007517957e-07
MRPS21.1,0.015042864345041578
TMEM121,0.003996523958645502
2'-PDE,4.04244082544444e-08
ITGA8,4.658752481411483e-06
LEFTY1,0.00027979311287475595
NGRN,0.00408095906673897
PSCD4,0.007891557853277685
TRRAP,3.8486403594424244e-09
SGK2,0.001282774510092408
CPSF4,0.00014041236844434987
HSPA1B,2.0396383913994797e-06
BTNL3,0.00013766009905150542
STARD13,5.319714847569914e-06
MCOLN2,0.014487322094578339
LOC285382,1.8481811370572256e-06
RPN1,5.519829261719904e-08
PCNXL2,8.444224747589483e-05
ARRDC4,1.6738756383176157e-06
GPR177,1.3643416098424536e-07
CRAMP1L,4.861032266137354e-08
BMP5,0.000402162339852674
LOC727901,0.0011714603366746686
CRLF1,0.0026536135641888436
LOC401622,0.03677977981054661
LIG3,0.000122794983510365
GABRB3,0.0003458704851748422
LIMK2,4.253375760140897e-10
LACTB2,2.9594409109491104e-05
CDCA2,5.299519685090707e-09
TCP1,3.167642342905231e-05
RAB31,0.00025308016008117443
GTPBP8,0.022459032313795962
ENPP5,1.3839711437131145e-06
ATP6V1C2,4.2114742648021025e-05
PPP2R2B,5.6766669283331864e-08
ASPSCR1,0.003318926788828986
TPM3,0.02076133131704254
SUCLA2,0.0020974373934205693
PAQR4,1.8230131847224366e-13
CSRP2,3.052316657826113e-05
WFDC1,4.011725621320847e-06
MGC14376,2.6745404995877078e-11
INTS4,0.00021344377792275219
ALG11,1.8739263687365635e-07
RIN1,0.0008835619742767143
RHBDL1,1.6871391108046362e-05
NEK6,1.8105181420192004e-05
RNH1,0.0032758449226287386
ELK4,0.0019113424341920557
ACADL,0.002756402431926485
C14orf32,0.002727959299460698
CCIN,9.40322373686793e-05
MGC24975,5.089184267945703e-07
GAD1,4.2267422571111824e-05
OR11G2,0.031076204581443462
AMH,0.023096333930059238
RPS6KC1,0.0034323048982709344
RFWD2,4.867575559505764e-05
